中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,296 Mbps,37990 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,532 Mbps,68198 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,185 Mbps,23756 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,61 ms,374 Mbps,47923 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,81 ms,276 Mbps,35328 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,41 ms,732 Mbps,93696 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,74 ms,316 Mbps,40448 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,288 Mbps,36966 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,41 ms,456 Mbps,58368 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,42 Mbps,5499 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,316 Mbps,40448 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,89 ms,45 Mbps,5841 kB/s
193.123.34.7,443,2a0b:21c0:100a:1b2:0:4445:30ae:928e,DE,Frankfurt,隧道,88 ms,128 Mbps,16486 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,242 Mbps,31027 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,88 ms,216 Mbps,27648 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,81 ms,224 Mbps,28672 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,5 ms,97 Mbps,12492 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,73 ms,251 Mbps,32153 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,68 ms,40 Mbps,5224 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,85 ms,233 Mbps,29900 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,95 ms,26 Mbps,3356 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,104 Mbps,13312 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,70 ms,292 Mbps,37478 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,82 ms,89 Mbps,11468 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,145 ms,212 Mbps,27136 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,71 ms,297 Mbps,38092 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,252 Mbps,32256 kB/s
141.147.88.123,443,2606:f240:f00:46c4:0:9996:43c2:e32b,US,Frankfurt,隧道,94 ms,133 Mbps,17100 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,231 Mbps,29593 kB/s
150.230.112.222,443,2a0b:21c0:100a:1f9:0:d7a9:7aa1:6a8,DE,Frankfurt,隧道,102 ms,232 Mbps,29798 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,88 ms,248 Mbps,31846 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,89 ms,220 Mbps,28262 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,322 Mbps,41267 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,68 ms,312 Mbps,39936 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,199 ms,46 Mbps,5936 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,45 Mbps,5827 kB/s
193.123.39.134,443,2a0b:21c0:1007:1ca:0:f91a:c46:2373,DE,Frankfurt,隧道,88 ms,182 Mbps,23347 kB/s
141.147.15.114,443,2a0b:21c0:1007:1c7:0:d8a7:9939:c02,DE,Frankfurt,隧道,90 ms,160 Mbps,20480 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,88 ms,31 Mbps,4017 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,174 ms,33 Mbps,4252 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,115 ms,328 Mbps,41984 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,108 ms,40 Mbps,5164 kB/s
193.123.177.168,443,2a0b:21c0:1007:cb:0:3725:30cf:9879,DE,Frankfurt,隧道,91 ms,201 Mbps,25804 kB/s
158.101.220.67,443,2a0b:21c0:100a:1b2:0:33a8:c4c4:8247,DE,Frankfurt,隧道,88 ms,216 Mbps,27750 kB/s
141.147.28.1,443,98.98.166.178,US,Frankfurt,隧道,90 ms,222 Mbps,28467 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,183 ms,38 Mbps,4884 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,85 ms,49 Mbps,6272 kB/s
150.230.63.93,443,150.230.63.93,35 Mbps,4539 kB/s
150.230.63.93,,,隧道,0 ms,null Mbps,null kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,189 ms,37 Mbps,4742 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,163 ms,29 Mbps,3801 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,191 ms,34 Mbps,4421 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,191 ms,34 Mbps,4466 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,238 ms,0 Mbps,122 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,185 ms,48 Mbps,6271 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,202 ms,60 Mbps,7731 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,182 ms,90 Mbps,11571 kB/s
8.219.140.157,443,8.222.222.65,SG,Singapore,隧道,237 ms,56 Mbps,7293 kB/s
