中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,19 ms,660 Mbps,84582 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,23 ms,1000 Mbps,128000 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,39 ms,300 Mbps,38400 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,27 ms,620 Mbps,79462 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,64 ms,411 Mbps,52633 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,45 ms,581 Mbps,74444 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,67 ms,206 Mbps,26419 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,48 ms,622 Mbps,79667 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,530 Mbps,67891 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,25 ms,377 Mbps,48332 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,70 ms,449 Mbps,57548 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,44 ms,419 Mbps,53657 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,164 ms,140 Mbps,17920 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,32 ms,49 Mbps,6336 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,74 ms,49 Mbps,6320 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,27 ms,848 Mbps,108544 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,36 ms,555 Mbps,71065 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,150 ms,138 Mbps,17715 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,81 ms,1 Mbps,138 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,172 ms,4 Mbps,569 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,149 ms,44 Mbps,5723 kB/s
144.22.252.124,443,144.22.252.124,BR,S
