中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,57 ms,293 Mbps,37580 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,59 ms,516 Mbps,66048 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,19 ms,642 Mbps,82227 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,48 ms,418 Mbps,53555 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,65 ms,523 Mbps,66969 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,25 ms,497 Mbps,63692 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,103 ms,48 Mbps,6220 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:fd,US,Los Angeles,隧道,72 ms,69 Mbps,8868 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,57 ms,343 Mbps,43929 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,65 ms,384 Mbps,49254 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,85 Mbps,10956 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,548 Mbps,70144 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,15 ms,65 Mbps,8405 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,87 ms,43 Mbps,5627 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,428 Mbps,54886 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,108 ms,191 Mbps,24473 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,122 ms,178 Mbps,22835 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,49 ms,444 Mbps,56832 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,571 Mbps,73113 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,154 Mbps,19763 kB/s
158.101.220.192,443,2606:f240:f00:5a42:0:5145:c7d6:9e68,US,Frankfurt,隧道,129 ms,196 Mbps,25190 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,62 ms,55 Mbps,7148 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,111 ms,40 Mbps,5155 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,123 ms,189 Mbps,24268 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,92 ms,296 Mbps,37990 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,164 Mbps,20992 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,115 ms,49 Mbps,6293 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,130 ms,50 Mbps,6424 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,118 ms,46 Mbps,6002 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,49 Mbps,6398 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,182 ms,161 Mbps,20684 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,118 ms,253 Mbps,32460 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,114 ms,44 Mbps,5673 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,124 ms,47 Mbps,6084 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,132 ms,210 Mbps,26931 kB/s
168.138.149.17,443,168.138.149.17,BR,S
